,beds,bed_type,bed_score,rating,price,latitude,longtitude,name,host_id
0,1.0,Real Bed,1.0,97.0,50.00,53.480740000000004,-2.2318599999999997,"Best Location! !, WIFI, En-suite, Balcony!",465854
1,1.0,Real Bed,1.0,100.0,60.00,53.56259,-2.21945,En-suite room in detached house,1476718
2,1.0,Real Bed,1.0,93.0,37.00,53.48251,-2.22802,Nice room 10 minutes walk from town,1603652
3,1.0,Real Bed,1.0,97.0,48.00,53.478590000000004,-2.23195,**ELEGANT STAY** CENTRAL MANCHESTER,1694961
4,1.0,Real Bed,1.0,95.0,32.00,53.45678,-2.23513,Light and Airy Double Bedroom close to City Centre,1821587
5,1.0,Real Bed,1.0,82.0,20.00,53.45326,-2.2397099999999996,Small cosy room close to city centre.,1560767
6,1.0,Real Bed,1.0,90.0,40.00,53.45508,-2.27683,Well Presented Large Double Room,7021
7,1.0,Real Bed,1.0,98.0,35.00,53.48138,-2.2236599999999997,Central Manchester room-character private bathroom,2738322
8,1.0,Real Bed,1.0,95.0,35.00,53.44635,-2.27818,Comfortable double room in Chorlton,2794391
9,1.0,Real Bed,1.0,97.0,31.00,53.427440000000004,-2.23273,Dbl Room good access to city centre,3027563
10,1.0,Real Bed,1.0,98.0,53.00,53.4742,-2.2441400000000002,DOUBLEROOMWITHENSUITEINTHE CITYCENTREWITH PARKING,3270691
11,1.0,Real Bed,1.0,92.0,35.00,53.4645,-2.25904,Lovely room  in Manchester city,3086011
12,1.0,Real Bed,1.0,98.0,45.00,53.393980000000006,-2.15342,Victorian Townhouse Manchester ~ 1,3988014
13,1.0,Real Bed,1.0,99.0,34.00,53.45966,-2.27037,Attractive room in Old Trafford,4727565
14,1.0,Real Bed,1.0,98.0,34.00,53.42618,-2.2341900000000003,"Comfortable en-suite room, Didsbury",3027563
15,1.0,Real Bed,1.0,99.0,32.00,53.4401,-2.28187,Single in WhiteRooms ChorltonGreen,4917842
16,1.0,Real Bed,1.0,100.0,35.00,53.4394,-2.28205,"Peaceful Attic-Room, 3, Chorlton",4917842
17,1.0,Real Bed,1.0,99.0,45.00,53.43954,-2.2816400000000003,Double/Ensuite in bohemian Chorlton,4917842
18,1.0,Real Bed,1.0,88.0,20.00,53.452740000000006,-2.23889,L shaped single room near to city centre,1560767
19,1.0,Real Bed,1.0,99.0,36.00,53.4683,-2.2469099999999997,Peaceful vegan flat (& breakfast),3093251
20,1.0,Real Bed,1.0,92.0,40.00,53.474740000000004,-2.2386, city centre boho artist's flat,5987368
21,1.0,Real Bed,1.0,95.0,32.00,53.42521,-2.2288099999999997,Peaceful Double room in Didsbury,1984186
22,1.0,Real Bed,1.0,97.0,50.00,53.43366999999999,-2.22283,Double room in Manchester,6201208
23,1.0,Real Bed,1.0,94.0,45.00,53.39221,-2.15276,Victorian Townhouse Manchester ~ 2,3988014
24,1.0,Real Bed,1.0,94.0,30.00,53.45581,-2.23695,Fabulous Room close to City Centre,1821587
25,1.0,Real Bed,1.0,97.0,34.00,53.46836,-2.2501900000000004,Std double bedroom in modern flat.,8113089
26,1.0,Real Bed,1.0,95.0,33.00,53.48786,-2.29252,Salford -Lowry-MediaCity-Manchester,5649500
27,1.0,Real Bed,1.0,100.0,29.00,53.48781999999999,-2.21125,Quiet house between Etihad Stadium & City Centre,8566600
28,1.0,Real Bed,1.0,87.0,15.00,53.461000000000006,-2.3538799999999998,Cosy single room,8643169
29,1.0,Real Bed,1.0,85.0,55.00,53.52704,-2.2366599999999996,Modern Duplex Flat near Heaton Park,9001735
30,1.0,Real Bed,1.0,100.0,26.00,53.450340000000004,-2.26742,Lovely double room with bay window,9487531
31,1.0,Real Bed,1.0,93.0,60.00,53.45944,-2.26966,Lovely Double Room in a Great Flat!,6649974
32,1.0,Real Bed,1.0,97.0,25.00,53.45689,-2.26499,Large double bedroom,10566057
33,1.0,Real Bed,1.0,96.0,36.00,53.469669999999994,-2.26357,Quiet City Centre Apartment,11143491
34,1.0,Real Bed,1.0,96.0,30.00,53.45706,-2.2591900000000003,Comfy Double Room with Private Bathroom,6792001
35,1.0,Real Bed,1.0,99.0,27.00,53.448519999999995,-2.35743,Quiet Large Spacious Double Room With Garden View,11618063
36,1.0,Real Bed,1.0,100.0,40.00,53.534769999999995,-2.55487,Ironman UK 2019 available space for extra guests!,13014357
37,1.0,Real Bed,1.0,87.0,30.00,53.45661,-2.23718,Ground Floor Double nr City centre,1821587
38,1.0,Real Bed,1.0,90.0,30.00,53.435480000000005,-2.19866,"Comfy family home, Mosely Rd, Close to Swamy",3962880
39,1.0,Real Bed,1.0,98.0,24.00,53.414680000000004,-2.1907400000000004,Double Room Heaton Moor,14192192
40,1.0,Real Bed,1.0,98.0,42.00,53.487730000000006,-2.2335599999999998,"Manchester Centre, close but quiet!",14449268
41,1.0,Real Bed,1.0,98.0,44.00,53.45326,-2.3042,Private attic room with ensuite,15824000
42,1.0,Real Bed,1.0,92.0,27.00,53.45674,-2.2149900000000002,Bright Double Room near University,2719228
43,1.0,Real Bed,1.0,93.0,12.00,53.45915,-2.2153,ROOF TERRACE DBL City Centre Universities MRI,3421578
44,1.0,Real Bed,1.0,99.0,40.00,53.37769,-2.3591900000000003,Private room Bowdon S'th Manchester,12301938
45,1.0,Real Bed,1.0,89.0,22.00,53.421980000000005,-2.22155,Double Bedroom with breakfast,17669919
46,1.0,Real Bed,1.0,98.0,42.00,53.42069,-2.18261,Double Bedroom in Victorian Home (King Size Bed),17746047
47,1.0,Real Bed,1.0,97.0,59.00,53.37152,-2.3677799999999998,"Ayuda House B&B Bowdon, Cheshire, 5 rooms in total",11483160
48,1.0,Real Bed,1.0,99.0,39.00,53.471830000000004,-2.26251,Ellesmere Street - Roof Garden - Gay Host,3607304
49,1.0,Real Bed,1.0,96.0,43.00,53.37033,-2.36381,Self-contained en-suite room,8664431
50,1.0,Real Bed,1.0,96.0,45.00,53.4809,-2.224,Double in Manchester City Centre,8455918
51,1.0,Real Bed,1.0,89.0,21.00,53.42698000000001,-2.21815,Small double Bedroom with breakfast,17669919
52,1.0,Real Bed,1.0,95.0,38.00,53.403040000000004,-2.16716,Beautiful Large Ensuite Loft Room,19487486
53,1.0,Real Bed,1.0,97.0,100.00,53.474630000000005,-2.2410200000000002,Superb Double Room In Manchester City Centre,2895264
54,1.0,Real Bed,1.0,97.0,37.00,53.41795,-2.21294,Spacious and cosy Double Bedroom,19789170
55,1.0,Real Bed,1.0,97.0,25.00,53.404830000000004,-2.2917400000000003,Perfect for Airport and Hospital,15159184
56,1.0,Real Bed,1.0,100.0,38.00,53.44786,-2.20056,The kindness of strangers,19734859
57,1.0,Real Bed,1.0,93.0,27.00,53.45932,-2.17265,Cozy Double Room Available,21029549
58,1.0,Real Bed,1.0,93.0,25.00,53.460719999999995,-2.17283,Cute Single Room Available,21029549
59,1.0,Real Bed,1.0,97.0,39.00,53.439659999999996,-2.2812900000000003,Lovely double room in Chorlton,3926962
60,1.0,Futon,0.6,97.0,24.00,53.47064,-2.29509,Cosy Single Room - Canal Views with WiFi,21254433
61,1.0,Real Bed,1.0,97.0,20.00,53.48536,-2.13462,Cosy single room - Parking included,14728896
62,1.0,Real Bed,1.0,96.0,30.00,53.451069999999994,-2.2820099999999996,"1.Chorlton, MUFC & Media City, start here!",21949435
63,1.0,Real Bed,1.0,96.0,35.00,53.451440000000005,-2.2833799999999997,"2.Chorlton, MUFC & Media City, start here!",21949435
64,1.0,Real Bed,1.0,94.0,40.00,53.47231,-2.2581599999999997,Double room with stunning views,3316046
65,1.0,Real Bed,1.0,98.0,29.00,53.44839,-2.18699,Double room in a friendly household,22200019
66,1.0,Real Bed,1.0,100.0,46.00,53.46878,-2.2471900000000002,Excellent room at Excellent location,22300551
67,1.0,Real Bed,1.0,99.0,77.00,53.4791,-2.23103,Perfect city centre warehouse conversion,22387983
68,1.0,Real Bed,1.0,80.0,35.00,53.4812,-2.23648,City Centre Double Bedroom in the Northern Quarter,11648424
69,1.0,Real Bed,1.0,97.0,38.00,53.457980000000006,-2.2679,Sunny stylish room in a happy house,19892769
70,1.0,Real Bed,1.0,95.0,18.00,53.48526,-2.34232,Double Room in shared apartment,23182584
71,1.0,Real Bed,1.0,93.0,28.00,53.48791,-2.26518,Warm bedroom close city cente,23673949
72,1.0,Real Bed,1.0,96.0,33.00,53.47561999999999,-2.27599,Well Located Simple Double Room,10222609
73,1.0,Real Bed,1.0,95.0,35.00,53.45114,-2.2734,Trafford Mansion (Single Room) Free WiFi,24276634
74,1.0,Real Bed,1.0,88.0,45.00,53.449709999999996,-2.27522,Trafford Mansion (Double Room) Free WiFi,24276634
75,1.0,Real Bed,1.0,100.0,30.00,53.44129,-2.28631,Friendly Chorlton Houseshare Double,26193398
76,1.0,Real Bed,1.0,98.0,35.00,53.4425,-2.24241,"Hi i,m Darren",26303964
77,1.0,Real Bed,1.0,99.0,34.00,53.439809999999994,-2.28344,"Peaceful Attic-Room, 2, Chorlton",4917842
78,1.0,Real Bed,1.0,100.0,28.00,53.41158000000001,-2.22423,Beautiful Family Home,7691062
79,1.0,Real Bed,1.0,100.0,40.00,53.47732,-2.16257,Double Room; Canalside Near Ethiad & City Centre.,28461411
80,1.0,Real Bed,1.0,96.0,26.00,53.43916,-2.28618,Friendly house in a great location,28733141
