,lsoa,latitude,longitude,area,month,Other theft,Robbery,Violence and sexual offences,Burglary,Public order,Other crime,Criminal damage and arson,Vehicle crime,Anti-social behaviour,Shoplifting,Bicycle theft,Drugs,Possession of weapons,Theft from the person,allcrime
0,E01012628,53.65936,-2.49603,1524569.215,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
1,E01012628,53.65936,-2.49603,1524569.215,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,E01012628,53.65936,-2.49603,1524569.215,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,E01012628,53.65936,-2.49603,1524569.215,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,E01012628,53.65936,-2.49603,1524569.215,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
5,E01012628,53.65936,-2.49603,1524569.215,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
6,E01012628,53.65936,-2.49603,1524569.215,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
7,E01012628,53.65936,-2.49603,1524569.215,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,E01012628,53.65936,-2.49603,1524569.215,8,0,0,1,0,1,0,1,1,0,0,0,0,0,0,4
9,E01012628,53.65936,-2.49603,1524569.215,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10,E01012628,53.65936,-2.49603,1524569.215,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,E01012628,53.65936,-2.49603,1524569.215,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,E01004768,53.61541,-2.4534,627970.8397,0,1,0,4,3,1,0,0,0,0,0,0,0,0,0,9
13,E01004768,53.61541,-2.4534,627970.8397,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
14,E01004768,53.61541,-2.4534,627970.8397,2,0,1,3,1,0,0,0,5,0,0,0,0,0,0,10
15,E01004768,53.61541,-2.4534,627970.8397,3,1,0,2,1,0,0,0,1,3,0,0,0,0,0,8
16,E01004768,53.61541,-2.4534,627970.8397,4,1,0,2,0,0,0,0,0,1,0,0,0,0,0,4
17,E01004768,53.61541,-2.4534,627970.8397,5,1,0,3,0,0,0,4,3,0,0,0,0,0,0,11
18,E01004768,53.61541,-2.4534,627970.8397,6,0,0,7,0,0,0,2,0,0,1,0,0,0,0,10
19,E01004768,53.61541,-2.4534,627970.8397,7,0,0,6,0,0,0,1,0,0,0,1,0,0,0,8
20,E01004768,53.61541,-2.4534,627970.8397,8,1,0,1,0,0,0,0,8,0,0,0,0,0,0,10
21,E01004768,53.61541,-2.4534,627970.8397,9,0,0,2,0,0,0,0,1,1,0,0,0,0,0,4
22,E01004768,53.61541,-2.4534,627970.8397,10,0,0,3,0,0,0,0,3,3,0,0,0,0,0,9
23,E01004768,53.61541,-2.4534,627970.8397,11,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3
24,E01004803,53.63468,-2.43838,1661417.2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3
25,E01004803,53.63468,-2.43838,1661417.2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,4
26,E01004803,53.63468,-2.43838,1661417.2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3
27,E01004803,53.63468,-2.43838,1661417.2,3,0,0,2,0,0,0,2,1,1,0,0,0,0,0,6
28,E01004803,53.63468,-2.43838,1661417.2,4,0,0,1,1,1,0,0,1,2,0,0,0,0,0,6
29,E01004803,53.63468,-2.43838,1661417.2,5,0,0,2,0,1,0,1,1,0,0,0,0,0,0,5
30,E01004803,53.63468,-2.43838,1661417.2,6,0,0,5,2,1,0,3,0,1,0,0,0,0,0,12
31,E01004803,53.63468,-2.43838,1661417.2,7,1,0,0,0,2,0,0,1,0,0,0,0,0,0,4
32,E01004803,53.63468,-2.43838,1661417.2,8,0,0,1,1,1,1,0,0,1,0,0,0,0,0,5
33,E01004803,53.63468,-2.43838,1661417.2,9,1,0,3,0,0,0,1,1,3,0,0,0,0,0,9
34,E01004803,53.63468,-2.43838,1661417.2,10,0,0,0,1,0,1,0,1,3,0,0,1,0,0,7
35,E01004803,53.63468,-2.43838,1661417.2,11,0,0,1,1,0,0,0,3,1,0,0,0,0,0,6
36,E01004804,53.62624,-2.43681,1031784.921,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,6
