,lsoa,crime type,percentage
0,E01004768,Other theft,0.056818181818181816
1,E01004768,Robbery,0.011363636363636364
2,E01004768,"Violence 
and 
sexual offences",0.38636363636363635
3,E01004768,Burglary,0.056818181818181816
4,E01004768,Public order,0.022727272727272728
5,E01004768,"Criminal damage 
and 
arson",0.07954545454545454
6,E01004768,"Vehicle 
crime",0.26136363636363635
7,E01004768,"Anti-social 
behaviour",0.09090909090909091
8,E01004768,Shoplifting,0.022727272727272728
9,E01004768,Bicycle theft,0.011363636363636364
10,E01004803,Other theft,0.04285714285714286
11,E01004803,"Violence 
and 
sexual offences",0.24285714285714285
12,E01004803,Burglary,0.14285714285714285
13,E01004803,Public order,0.08571428571428572
14,E01004803,Other crime,0.04285714285714286
15,E01004803,"Criminal damage 
and 
arson",0.1
16,E01004803,"Vehicle 
crime",0.14285714285714285
17,E01004803,"Anti-social 
behaviour",0.18571428571428572
18,E01004803,Drugs,0.014285714285714285
19,E01004804,Other theft,0.09876543209876543
20,E01004804,Robbery,0.012345679012345678
21,E01004804,"Violence 
and 
sexual offences",0.12345679012345678
22,E01004804,Burglary,0.16049382716049382
23,E01004804,Public order,0.04938271604938271
24,E01004804,Other crime,0.06172839506172839
25,E01004804,"Criminal damage 
and 
arson",0.08641975308641975
26,E01004804,"Vehicle 
crime",0.25925925925925924
27,E01004804,"Anti-social 
behaviour",0.1111111111111111
28,E01004804,Drugs,0.037037037037037035
29,E01004807,Other theft,0.05357142857142857
30,E01004807,"Violence 
and 
sexual offences",0.32142857142857145
31,E01004807,Burglary,0.125
32,E01004807,Public order,0.03571428571428571
33,E01004807,Other crime,0.03571428571428571
34,E01004807,"Criminal damage 
and 
arson",0.08928571428571429
35,E01004807,"Vehicle 
crime",0.2857142857142857
36,E01004807,"Anti-social 
behaviour",0.05357142857142857
37,E01004808,Other theft,0.06521739130434782
38,E01004808,"Violence 
and 
sexual offences",0.21739130434782608
39,E01004808,Burglary,0.32608695652173914
40,E01004808,Public order,0.13043478260869565
41,E01004808,"Criminal damage 
and 
arson",0.06521739130434782
42,E01004808,"Vehicle 
crime",0.17391304347826086
43,E01004808,"Anti-social 
behaviour",0.021739130434782608
44,E01004788,"Violence 
and 
sexual offences",0.2127659574468085
45,E01004788,Burglary,0.19148936170212766
46,E01004788,Public order,0.02127659574468085
47,E01004788,Other crime,0.02127659574468085
48,E01004788,"Criminal damage 
and 
arson",0.0851063829787234
49,E01004788,"Vehicle 
crime",0.2765957446808511
50,E01004788,"Anti-social 
behaviour",0.1702127659574468
51,E01004788,"Possession 
of 
weapons",0.02127659574468085
52,E01004790,Other theft,0.09844559585492228
53,E01004790,Robbery,0.010362694300518135
54,E01004790,"Violence 
and 
sexual offences",0.24352331606217617
55,E01004790,Burglary,0.08808290155440414
56,E01004790,Public order,0.08290155440414508
57,E01004790,Other crime,0.010362694300518135
58,E01004790,"Criminal damage 
and 
arson",0.06217616580310881
59,E01004790,"Vehicle 
crime",0.09326424870466321
60,E01004790,"Anti-social 
behaviour",0.15544041450777202
61,E01004790,Shoplifting,0.13989637305699482
62,E01004790,Drugs,0.0051813471502590676
63,E01004790,"Possession 
of 
weapons",0.0051813471502590676
64,E01004790,"Theft 
from the person",0.0051813471502590676
65,E01004805,Other theft,0.11594202898550725
66,E01004805,"Violence 
and 
sexual offences",0.21739130434782608
67,E01004805,Burglary,0.13043478260869565
68,E01004805,Public order,0.028985507246376812
69,E01004805,Other crime,0.028985507246376812
70,E01004805,"Criminal damage 
and 
arson",0.11594202898550725
71,E01004805,"Vehicle 
crime",0.2753623188405797
72,E01004805,"Anti-social 
behaviour",0.07246376811594203
73,E01004805,"Possession 
of 
weapons",0.014492753623188406
74,E01004806,Other theft,0.026785714285714284
75,E01004806,Robbery,0.008928571428571428
76,E01004806,"Violence 
and 
sexual offences",0.23214285714285715
77,E01004806,Burglary,0.07142857142857142
78,E01004806,Public order,0.11607142857142858
79,E01004806,Other crime,0.026785714285714284
80,E01004806,"Criminal damage 
and 
arson",0.08928571428571429
81,E01004806,"Vehicle 
crime",0.16964285714285715
82,E01004806,"Anti-social 
behaviour",0.125
83,E01004806,Shoplifting,0.11607142857142858
84,E01004806,Bicycle theft,0.017857142857142856
85,E01004810,Other theft,0.06756756756756757
86,E01004810,Robbery,0.013513513513513514
87,E01004810,"Violence 
and 
sexual offences",0.28378378378378377
88,E01004810,Burglary,0.0945945945945946
89,E01004810,Public order,0.013513513513513514
90,E01004810,Other crime,0.02702702702702703
91,E01004810,"Criminal damage 
and 
arson",0.14864864864864866
92,E01004810,"Vehicle 
crime",0.17567567567567569
93,E01004810,"Anti-social 
behaviour",0.12162162162162163
94,E01004810,Bicycle theft,0.013513513513513514
95,E01004810,Drugs,0.04054054054054054
96,E01004769,Other theft,0.024390243902439025
97,E01004769,"Violence 
and 
sexual offences",0.34146341463414637
98,E01004769,Burglary,0.0975609756097561
99,E01004769,Public order,0.1951219512195122
100,E01004769,"Criminal damage 
and 
arson",0.036585365853658534
101,E01004769,"Vehicle 
crime",0.13414634146341464
102,E01004769,"Anti-social 
behaviour",0.15853658536585366
103,E01004769,"Possession 
of 
weapons",0.012195121951219513
104,E01004770,Other theft,0.03278688524590164
105,E01004770,"Violence 
and 
sexual offences",0.3114754098360656
106,E01004770,Burglary,0.04918032786885246
107,E01004770,Public order,0.06557377049180328
108,E01004770,Other crime,0.03278688524590164
109,E01004770,"Criminal damage 
and 
arson",0.11475409836065574
110,E01004770,"Vehicle 
crime",0.19672131147540983
111,E01004770,"Anti-social 
behaviour",0.18032786885245902
112,E01004770,"Possession 
of 
weapons",0.01639344262295082
113,E01004771,Other theft,0.0736196319018405
114,E01004771,Robbery,0.012269938650306749
115,E01004771,"Violence 
and 
sexual offences",0.10429447852760736
116,E01004771,Burglary,0.13496932515337423
117,E01004771,Public order,0.09202453987730061
118,E01004771,Other crime,0.018404907975460124
119,E01004771,"Criminal damage 
and 
arson",0.08588957055214724
120,E01004771,"Vehicle 
crime",0.2822085889570552
121,E01004771,"Anti-social 
behaviour",0.1165644171779141
122,E01004771,Shoplifting,0.04294478527607362
123,E01004771,Drugs,0.006134969325153374
124,E01004771,"Possession 
of 
weapons",0.012269938650306749
125,E01004771,"Theft 
from the person",0.018404907975460124
126,E01004773,Other theft,0.06989247311827956
127,E01004773,Robbery,0.016129032258064516
128,E01004773,"Violence 
and 
sexual offences",0.3010752688172043
129,E01004773,Burglary,0.05913978494623656
130,E01004773,Public order,0.10752688172043011
131,E01004773,Other crime,0.021505376344086023
132,E01004773,"Criminal damage 
and 
arson",0.08064516129032258
133,E01004773,"Vehicle 
crime",0.16666666666666666
134,E01004773,"Anti-social 
behaviour",0.15591397849462366
