,lsoa,lat,lon
0,E01000001,51.51801,-0.09677
1,E01000002,51.51818,-0.09255
2,E01000003,51.52171,-0.09582
3,E01000004,51.51374,-0.09333
4,E01000005,51.51349,-0.07579
5,E01000006,51.53895,0.08841
6,E01000007,51.54043,0.07708
7,E01000008,51.54011,0.06963
8,E01000009,51.54048,0.08371
9,E01000010,51.53689,0.07815
10,E01000011,51.54306,0.08069
11,E01000012,51.54296,0.07376
12,E01000013,51.54316,0.1468
13,E01000014,51.54353,0.13982
14,E01000015,51.5444,0.15583
15,E01000016,51.54937,0.15195
16,E01000017,51.54935,0.14614
17,E01000018,51.5465,0.15205
18,E01000019,51.55818,0.12047
19,E01000020,51.55629,0.12473
20,E01000021,51.55442,0.11601
21,E01000022,51.55403,0.12112
22,E01000023,51.55114,0.11113
23,E01000024,51.55119,0.12074
24,E01000025,51.54938,0.1179
25,E01000026,51.56197,0.12203
26,E01000027,51.59086,0.1419
27,E01000028,51.58508,0.12948
28,E01000029,51.58026,0.13426
29,E01000030,51.5834,0.13659
30,E01000031,51.5803,0.144
31,E01000032,51.57461,0.13392
32,E01000033,51.55487,0.16284
33,E01000034,51.55713,0.17149
34,E01000035,51.54961,0.16287
35,E01000036,51.54616,0.16804
36,E01000037,51.56251,0.1795
37,E01000038,51.56313,0.17308
38,E01000039,51.55271,0.17874
39,E01000040,51.53661,0.09745
40,E01000041,51.53815,0.11612
41,E01000042,51.53728,0.1068
42,E01000043,51.53388,0.09998
43,E01000044,51.53599,0.09028
44,E01000045,51.53465,0.11058
45,E01000046,51.53653,0.11993
46,E01000047,51.5326,0.07603
47,E01000048,51.53162,0.08364
48,E01000049,51.53043,0.08634
49,E01000050,51.5345,0.08596
50,E01000051,51.53427,0.0823
51,E01000052,51.53224,0.09308
52,E01000053,51.53275,0.14383
53,E01000054,51.53667,0.13241
54,E01000055,51.53583,0.12624
55,E01000056,51.53418,0.13706
56,E01000057,51.53806,0.12666
57,E01000058,51.53957,0.13602
58,E01000059,51.53635,0.14176
59,E01000060,51.55808,0.15736
60,E01000061,51.56197,0.15792
61,E01000062,51.55377,0.15215
62,E01000063,51.55605,0.14565
63,E01000064,51.55352,0.15744
64,E01000065,51.55259,0.1437
65,E01000066,51.54634,0.10596
66,E01000067,51.54707,0.10099
67,E01000068,51.54262,0.08798
68,E01000069,51.54306,0.09994
69,E01000070,51.5449,0.09208
70,E01000071,51.53976,0.09969
71,E01000072,51.5421,0.11093
72,E01000073,51.54818,0.11303
73,E01000074,51.54583,0.12069
74,E01000075,51.54302,0.12735
75,E01000076,51.54124,0.12017
76,E01000077,51.54961,0.12583
77,E01000078,51.55219,0.1325
78,E01000079,51.5464,0.13841
79,E01000080,51.54804,0.13186
80,E01000081,51.55021,0.13846
81,E01000082,51.55446,0.13868
82,E01000083,51.55349,0.12835
83,E01000084,51.53985,0.14517
84,E01000085,51.53791,0.15036
85,E01000086,51.53687,0.1458
86,E01000087,51.53007,0.15014
87,E01000088,51.53382,0.1555
88,E01000089,51.53066,0.16039
89,E01000090,51.51955,0.15378
90,E01000091,51.52723,0.10887
91,E01000092,51.52035,0.10959
92,E01000093,51.5293,0.10265
93,E01000094,51.52352,0.11547
94,E01000095,51.52524,0.13516
95,E01000096,51.5317,0.11637
96,E01000097,51.5637,0.12904
97,E01000098,51.56085,0.12709
98,E01000099,51.56304,0.13351
99,E01000100,51.5591,0.13863
100,E01000101,51.55921,0.14421
101,E01000102,51.55714,0.13321
102,E01000103,51.53457,0.16472
103,E01000104,51.53885,0.16765
104,E01000105,51.53978,0.15349
105,E01000106,51.5401,0.15933
106,E01000107,51.54247,0.17553
107,E01000108,51.54281,0.16695
108,E01000109,51.5642,0.14082
109,E01000110,51.57314,0.14621
110,E01000111,51.56896,0.14467
111,E01000112,51.5708,0.13924
112,E01000113,51.56978,0.13358
113,E01000114,51.56438,0.14855
114,E01000115,51.6361,-0.14147
115,E01000116,51.63362,-0.14663
116,E01000117,51.633,-0.1569
117,E01000118,51.63066,-0.1516
118,E01000119,51.62972,-0.13562
119,E01000120,51.632,-0.14054
120,E01000121,51.62708,-0.14794
121,E01000122,51.62462,-0.13675
122,E01000123,51.62291,-0.14485
123,E01000124,51.6189,-0.14476
124,E01000125,51.60509,-0.2692
125,E01000126,51.60105,-0.25153
126,E01000127,51.60614,-0.25976
127,E01000128,51.60107,-0.25992
128,E01000129,51.59915,-0.26404
129,E01000130,51.60441,-0.25423
130,E01000131,51.59779,-0.25696
131,E01000132,51.60966,-0.25844
132,E01000133,51.60758,-0.25184
133,E01000134,51.60762,-0.26507
134,E01000135,51.56841,-0.20208
135,E01000136,51.56674,-0.19125
136,E01000137,51.5643,-0.2008
137,E01000138,51.56408,-0.2058
138,E01000139,51.55907,-0.20219
139,E01000140,51.56265,-0.19659
140,E01000141,51.56026,-0.21601
141,E01000142,51.56203,-0.21109
142,E01000143,51.55804,-0.20842
143,E01000144,51.57414,-0.19902
144,E01000145,51.57263,-0.20555
145,E01000146,51.57037,-0.19767
146,E01000147,51.58981,-0.24921
147,E01000148,51.59262,-0.25445
148,E01000149,51.59348,-0.24218
149,E01000150,51.58497,-0.24342
150,E01000151,51.60138,-0.24285
151,E01000152,51.60455,-0.24376
152,E01000153,51.60406,-0.24802
153,E01000154,51.5987,-0.2445
154,E01000155,51.59608,-0.25062
155,E01000156,51.60043,-0.14862
156,E01000157,51.6022,-0.14563
157,E01000158,51.61765,-0.15173
158,E01000159,51.61872,-0.15804
159,E01000160,51.61328,-0.14506
160,E01000161,51.61346,-0.15248
161,E01000162,51.61203,-0.15825
162,E01000163,51.60772,-0.1452
163,E01000164,51.60576,-0.15316
164,E01000165,51.60982,-0.15023
