,lsoa,latitude,longitude,area,month,score_0,score_1
1,E01012628,53.65936,-2.49603,1524569.215,1,2,0
2,E01012628,53.65936,-2.49603,1524569.215,2,1,0
3,E01012628,53.65936,-2.49603,1524569.215,3,0,0
4,E01012628,53.65936,-2.49603,1524569.215,4,0,0
5,E01012628,53.65936,-2.49603,1524569.215,5,1,1
6,E01012628,53.65936,-2.49603,1524569.215,6,0,1
7,E01012628,53.65936,-2.49603,1524569.215,7,0,0
8,E01012628,53.65936,-2.49603,1524569.215,8,0,0
9,E01012628,53.65936,-2.49603,1524569.215,9,1,2
10,E01012628,53.65936,-2.49603,1524569.215,10,1,0
11,E01012628,53.65936,-2.49603,1524569.215,11,0,0
12,E01012628,53.65936,-2.49603,1524569.215,12,0,0
14,E01004768,53.61541,-2.4534,627970.8397,1,7,1
15,E01004768,53.61541,-2.4534,627970.8397,2,0,1
16,E01004768,53.61541,-2.4534,627970.8397,3,5,0
17,E01004768,53.61541,-2.4534,627970.8397,4,3,3
18,E01004768,53.61541,-2.4534,627970.8397,5,2,1
19,E01004768,53.61541,-2.4534,627970.8397,6,3,4
20,E01004768,53.61541,-2.4534,627970.8397,7,7,3
21,E01004768,53.61541,-2.4534,627970.8397,8,7,1
22,E01004768,53.61541,-2.4534,627970.8397,9,1,0
23,E01004768,53.61541,-2.4534,627970.8397,10,2,1
24,E01004768,53.61541,-2.4534,627970.8397,11,3,3
25,E01004768,53.61541,-2.4534,627970.8397,12,1,1
27,E01004803,53.63468,-2.43838,1661417.2,1,2,0
28,E01004803,53.63468,-2.43838,1661417.2,2,2,0
29,E01004803,53.63468,-2.43838,1661417.2,3,2,1
30,E01004803,53.63468,-2.43838,1661417.2,4,2,3
31,E01004803,53.63468,-2.43838,1661417.2,5,2,3
32,E01004803,53.63468,-2.43838,1661417.2,6,2,2
33,E01004803,53.63468,-2.43838,1661417.2,7,7,5
34,E01004803,53.63468,-2.43838,1661417.2,8,0,2
35,E01004803,53.63468,-2.43838,1661417.2,9,2,2
36,E01004803,53.63468,-2.43838,1661417.2,10,3,4
37,E01004803,53.63468,-2.43838,1661417.2,11,1,3
38,E01004803,53.63468,-2.43838,1661417.2,12,2,1
40,E01004804,53.62624,-2.43681,1031784.921,1,4,0
41,E01004804,53.62624,-2.43681,1031784.921,2,0,1
42,E01004804,53.62624,-2.43681,1031784.921,3,0,2
43,E01004804,53.62624,-2.43681,1031784.921,4,3,4
44,E01004804,53.62624,-2.43681,1031784.921,5,2,4
45,E01004804,53.62624,-2.43681,1031784.921,6,3,2
46,E01004804,53.62624,-2.43681,1031784.921,7,7,0
47,E01004804,53.62624,-2.43681,1031784.921,8,1,1
48,E01004804,53.62624,-2.43681,1031784.921,9,0,0
49,E01004804,53.62624,-2.43681,1031784.921,10,0,1
50,E01004804,53.62624,-2.43681,1031784.921,11,2,2
51,E01004804,53.62624,-2.43681,1031784.921,12,2,3
53,E01004807,53.6213,-2.42567,393866.7203,1,3,1
54,E01004807,53.6213,-2.42567,393866.7203,2,2,0
55,E01004807,53.6213,-2.42567,393866.7203,3,2,1
56,E01004807,53.6213,-2.42567,393866.7203,4,3,0
57,E01004807,53.6213,-2.42567,393866.7203,5,7,0
58,E01004807,53.6213,-2.42567,393866.7203,6,1,1
59,E01004807,53.6213,-2.42567,393866.7203,7,1,0
60,E01004807,53.6213,-2.42567,393866.7203,8,1,4
61,E01004807,53.6213,-2.42567,393866.7203,9,1,1
62,E01004807,53.6213,-2.42567,393866.7203,10,0,1
63,E01004807,53.6213,-2.42567,393866.7203,11,2,1
64,E01004807,53.6213,-2.42567,393866.7203,12,2,0
66,E01004808,53.6196,-2.43373,697025.1158,1,2,0
67,E01004808,53.6196,-2.43373,697025.1158,2,1,1
68,E01004808,53.6196,-2.43373,697025.1158,3,0,1
69,E01004808,53.6196,-2.43373,697025.1158,4,2,0
70,E01004808,53.6196,-2.43373,697025.1158,5,1,3
71,E01004808,53.6196,-2.43373,697025.1158,6,3,2
72,E01004808,53.6196,-2.43373,697025.1158,7,2,1
73,E01004808,53.6196,-2.43373,697025.1158,8,2,1
74,E01004808,53.6196,-2.43373,697025.1158,9,2,0
75,E01004808,53.6196,-2.43373,697025.1158,10,2,1
76,E01004808,53.6196,-2.43373,697025.1158,11,2,0
77,E01004808,53.6196,-2.43373,697025.1158,12,6,0
79,E01004788,53.61149,-2.3987,676727.6428,1,2,0
80,E01004788,53.61149,-2.3987,676727.6428,2,2,2
81,E01004788,53.61149,-2.3987,676727.6428,3,1,1
82,E01004788,53.61149,-2.3987,676727.6428,4,2,2
83,E01004788,53.61149,-2.3987,676727.6428,5,0,1
84,E01004788,53.61149,-2.3987,676727.6428,6,1,1
85,E01004788,53.61149,-2.3987,676727.6428,7,6,3
86,E01004788,53.61149,-2.3987,676727.6428,8,1,0
87,E01004788,53.61149,-2.3987,676727.6428,9,2,2
88,E01004788,53.61149,-2.3987,676727.6428,10,1,0
89,E01004788,53.61149,-2.3987,676727.6428,11,0,1
90,E01004788,53.61149,-2.3987,676727.6428,12,1,0
92,E01004790,53.60532,-2.40315,821146.5046,1,3,6
93,E01004790,53.60532,-2.40315,821146.5046,2,6,13
94,E01004790,53.60532,-2.40315,821146.5046,3,9,10
95,E01004790,53.60532,-2.40315,821146.5046,4,6,11
96,E01004790,53.60532,-2.40315,821146.5046,5,7,9
97,E01004790,53.60532,-2.40315,821146.5046,6,6,8
98,E01004790,53.60532,-2.40315,821146.5046,7,5,3
99,E01004790,53.60532,-2.40315,821146.5046,8,9,5
100,E01004790,53.60532,-2.40315,821146.5046,9,3,3
101,E01004790,53.60532,-2.40315,821146.5046,10,4,6
102,E01004790,53.60532,-2.40315,821146.5046,11,5,5
103,E01004790,53.60532,-2.40315,821146.5046,12,4,6
105,E01004805,53.62096,-2.41206,711092.6128,1,3,2
106,E01004805,53.62096,-2.41206,711092.6128,2,1,3
107,E01004805,53.62096,-2.41206,711092.6128,3,1,0
108,E01004805,53.62096,-2.41206,711092.6128,4,1,3
109,E01004805,53.62096,-2.41206,711092.6128,5,0,0
110,E01004805,53.62096,-2.41206,711092.6128,6,5,0
111,E01004805,53.62096,-2.41206,711092.6128,7,1,1
112,E01004805,53.62096,-2.41206,711092.6128,8,0,2
113,E01004805,53.62096,-2.41206,711092.6128,9,1,0
114,E01004805,53.62096,-2.41206,711092.6128,10,2,2
115,E01004805,53.62096,-2.41206,711092.6128,11,4,1
116,E01004805,53.62096,-2.41206,711092.6128,12,5,1
118,E01004806,53.61445,-2.41188,742912.6179,1,2,8
119,E01004806,53.61445,-2.41188,742912.6179,2,5,3
120,E01004806,53.61445,-2.41188,742912.6179,3,3,4
121,E01004806,53.61445,-2.41188,742912.6179,4,3,7
122,E01004806,53.61445,-2.41188,742912.6179,5,3,2
123,E01004806,53.61445,-2.41188,742912.6179,6,3,3
124,E01004806,53.61445,-2.41188,742912.6179,7,1,2
125,E01004806,53.61445,-2.41188,742912.6179,8,4,4
126,E01004806,53.61445,-2.41188,742912.6179,9,3,7
127,E01004806,53.61445,-2.41188,742912.6179,10,2,1
128,E01004806,53.61445,-2.41188,742912.6179,11,3,4
129,E01004806,53.61445,-2.41188,742912.6179,12,5,5
131,E01004810,53.60635,-2.41254,995760.5969,1,2,2
132,E01004810,53.60635,-2.41254,995760.5969,2,1,6
133,E01004810,53.60635,-2.41254,995760.5969,3,4,3
134,E01004810,53.60635,-2.41254,995760.5969,4,4,4
135,E01004810,53.60635,-2.41254,995760.5969,5,4,0
136,E01004810,53.60635,-2.41254,995760.5969,6,2,0
137,E01004810,53.60635,-2.41254,995760.5969,7,4,3
138,E01004810,53.60635,-2.41254,995760.5969,8,1,0
139,E01004810,53.60635,-2.41254,995760.5969,9,2,2
140,E01004810,53.60635,-2.41254,995760.5969,10,4,0
141,E01004810,53.60635,-2.41254,995760.5969,11,1,1
142,E01004810,53.60635,-2.41254,995760.5969,12,1,0
144,E01004769,53.61067,-2.42589,576293.1145,1,5,4
145,E01004769,53.61067,-2.42589,576293.1145,2,9,1
146,E01004769,53.61067,-2.42589,576293.1145,3,2,0
147,E01004769,53.61067,-2.42589,576293.1145,4,2,1
148,E01004769,53.61067,-2.42589,576293.1145,5,0,3
149,E01004769,53.61067,-2.42589,576293.1145,6,4,5
150,E01004769,53.61067,-2.42589,576293.1145,7,4,1
151,E01004769,53.61067,-2.42589,576293.1145,8,1,2
152,E01004769,53.61067,-2.42589,576293.1145,9,1,2
153,E01004769,53.61067,-2.42589,576293.1145,10,2,1
154,E01004769,53.61067,-2.42589,576293.1145,11,3,5
155,E01004769,53.61067,-2.42589,576293.1145,12,3,7
157,E01004770,53.60622,-2.42174,808107.6667,1,2,3
158,E01004770,53.60622,-2.42174,808107.6667,2,0,1
159,E01004770,53.60622,-2.42174,808107.6667,3,1,0
160,E01004770,53.60622,-2.42174,808107.6667,4,1,2
161,E01004770,53.60622,-2.42174,808107.6667,5,3,2
162,E01004770,53.60622,-2.42174,808107.6667,6,6,4
163,E01004770,53.60622,-2.42174,808107.6667,7,2,1
164,E01004770,53.60622,-2.42174,808107.6667,8,2,1
165,E01004770,53.60622,-2.42174,808107.6667,9,0,2
166,E01004770,53.60622,-2.42174,808107.6667,10,3,2
167,E01004770,53.60622,-2.42174,808107.6667,11,0,1
168,E01004770,53.60622,-2.42174,808107.6667,12,2,3
170,E01004771,53.61081,-2.43455,252031.7436,1,2,0
171,E01004771,53.61081,-2.43455,252031.7436,2,1,1
172,E01004771,53.61081,-2.43455,252031.7436,3,8,3
173,E01004771,53.61081,-2.43455,252031.7436,4,2,6
174,E01004771,53.61081,-2.43455,252031.7436,5,2,5
175,E01004771,53.61081,-2.43455,252031.7436,6,6,4
176,E01004771,53.61081,-2.43455,252031.7436,7,3,8
177,E01004771,53.61081,-2.43455,252031.7436,8,4,9
178,E01004771,53.61081,-2.43455,252031.7436,9,7,5
179,E01004771,53.61081,-2.43455,252031.7436,10,5,6
180,E01004771,53.61081,-2.43455,252031.7436,11,3,5
181,E01004771,53.61081,-2.43455,252031.7436,12,1,3
183,E01004773,53.60553,-2.43067,428045.34,1,8,3
184,E01004773,53.60553,-2.43067,428045.34,2,4,5
185,E01004773,53.60553,-2.43067,428045.34,3,6,4
186,E01004773,53.60553,-2.43067,428045.34,4,7,3
187,E01004773,53.60553,-2.43067,428045.34,5,6,7
188,E01004773,53.60553,-2.43067,428045.34,6,7,6
189,E01004773,53.60553,-2.43067,428045.34,7,10,5
190,E01004773,53.60553,-2.43067,428045.34,8,2,8
191,E01004773,53.60553,-2.43067,428045.34,9,3,6
192,E01004773,53.60553,-2.43067,428045.34,10,3,5
193,E01004773,53.60553,-2.43067,428045.34,11,1,6
194,E01004773,53.60553,-2.43067,428045.34,12,14,6
196,E01004809,53.61582,-2.4227,572248.441,1,7,13
197,E01004809,53.61582,-2.4227,572248.441,2,6,2
198,E01004809,53.61582,-2.4227,572248.441,3,4,7
199,E01004809,53.61582,-2.4227,572248.441,4,11,10
200,E01004809,53.61582,-2.4227,572248.441,5,4,11
201,E01004809,53.61582,-2.4227,572248.441,6,14,8
202,E01004809,53.61582,-2.4227,572248.441,7,5,5
203,E01004809,53.61582,-2.4227,572248.441,8,4,8
204,E01004809,53.61582,-2.4227,572248.441,9,8,9
205,E01004809,53.61582,-2.4227,572248.441,10,4,3
206,E01004809,53.61582,-2.4227,572248.441,11,5,4
207,E01004809,53.61582,-2.4227,572248.441,12,1,5
209,E01004777,53.59788,-2.55286,366957.5917,1,5,5
210,E01004777,53.59788,-2.55286,366957.5917,2,5,4
211,E01004777,53.59788,-2.55286,366957.5917,3,5,4
212,E01004777,53.59788,-2.55286,366957.5917,4,4,6
213,E01004777,53.59788,-2.55286,366957.5917,5,4,9
214,E01004777,53.59788,-2.55286,366957.5917,6,12,7
215,E01004777,53.59788,-2.55286,366957.5917,7,7,3
216,E01004777,53.59788,-2.55286,366957.5917,8,2,5
217,E01004777,53.59788,-2.55286,366957.5917,9,2,11
218,E01004777,53.59788,-2.55286,366957.5917,10,8,7
219,E01004777,53.59788,-2.55286,366957.5917,11,10,6
220,E01004777,53.59788,-2.55286,366957.5917,12,3,7
222,E01004881,53.60146,-2.55026,245099.0525,1,6,10
223,E01004881,53.60146,-2.55026,245099.0525,2,11,8
224,E01004881,53.60146,-2.55026,245099.0525,3,11,6
225,E01004881,53.60146,-2.55026,245099.0525,4,8,6
226,E01004881,53.60146,-2.55026,245099.0525,5,13,10
227,E01004881,53.60146,-2.55026,245099.0525,6,14,13
228,E01004881,53.60146,-2.55026,245099.0525,7,8,4
229,E01004881,53.60146,-2.55026,245099.0525,8,5,5
230,E01004881,53.60146,-2.55026,245099.0525,9,4,7
