id,name,host_id,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,,,,,,,,,,
68951,Whole House for rent ,341682,53.56214,-2.53305,t,House,Entire home/apt,4,1,2,6,Real Bed,$65.00 ,$350.00 ,"$1,051.00 ",$150.00 ,$25.00 ,4,$10.00 ,97,,,,,,,,,,
85109,"Best Location! !, WIFI, En-suite, Balcony!",465854,53.48074,-2.23186,t,Apartment,Private room,2,1.5,1,1,Real Bed,$50.00 ,$350.00 ,"$1,000.00 ",$0.00 ,$0.00 ,2,$0.00 ,97,,,,,,,,,,
159189,1 room can be shared by two people,763769,53.61537,-2.19885,t,House,Shared room,2,1,1,2,Real Bed,$55.00 ,,,$100.00 ,,1,$30.00 ,,,,,,,,,,,
283495,En-suite room in detached house,1476718,53.56259,-2.21945,t,House,Private room,2,1,1,1,Real Bed,$60.00 ,$300.00 ,"$1,000.00 ",,,1,$0.00 ,100,,,,,,,,,,
299194,Cosy Garden Chalet for all seasons,1542010,53.376,-2.04462,t,Chalet,Entire home/apt,4,1.5,1,1,Real Bed,$50.00 ,$250.00 ,$900.00 ,,$10.00 ,1,$15.00 ,90,,,,,,,,,,
310742,Nice room 10 minutes walk from town,1603652,53.48251,-2.22802,t,Apartment,Private room,1,1,1,1,Real Bed,$37.00 ,$150.00 ,$550.00 ,$150.00 ,,1,$0.00 ,93,,,,,,,,,,
332580,**ELEGANT STAY** CENTRAL MANCHESTER,1694961,53.47859,-2.23195,f,Apartment,Private room,2,1,1,1,Real Bed,$48.00 ,$292.00 ,$892.00 ,,$6.00 ,2,$16.00 ,97,,,,,,,,,,
360142,Light and Airy Double Bedroom close to City Centre,1821587,53.45678,-2.23513,f,Townhouse,Private room,2,2,1,1,Real Bed,$32.00 ,$165.00 ,$546.00 ,$100.00 ,$20.00 ,1,$15.00 ,95,,,,,,,,,,
363327,Small cosy room close to city centre.,1560767,53.45326,-2.23971,t,House,Private room,1,1,1,1,Real Bed,$20.00 ,$131.00 ,$462.00 ,$120.00 ,$0.00 ,1,$0.00 ,82,,,,,,,,,,
371588,Trendy City Centre with View/canal,1871359,53.48051,-2.22414,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$85.00 ,,,,$5.00 ,1,$0.00 ,95,,,,,,,,,,
387073,"Perfect Family Retreat, Manchester, Near M60",1936854,53.52374,-2.38502,t,House,Entire home/apt,11,2.5,5,11,Real Bed,$90.00 ,$950.00 ,,,$60.00 ,1,$7.00 ,95,,,,,,,,,,
390028,Single Room with Private Bathroom,1951261,53.38927,-2.21401,t,House,Private room,1,1,1,0,Real Bed,$36.00 ,$180.00 ,$650.00 ,,,1,$0.00 ,96,,,,,,,,,,
391046,WHOLE HOUSE ALL FURNISHED +2PARKING,1955765,53.52176,-2.48597,t,House,Entire home/apt,4,2.5,3,2,Real Bed,$65.00 ,$410.00 ,$960.00 ,$400.00 ,$40.00 ,2,$19.00 ,93,,,,,,,,,,
391058,Single room,1955856,53.50377,-2.31299,f,Apartment,Private room,1,,1,,Real Bed,$24.00 ,,,$0.00 ,,1,$0.00 ,,,,,,,,,,,
411843,Rest & Recharge - Birley View,2046430,53.46849,-2.24403,t,Apartment,Entire home/apt,6,1,2,3,Real Bed,$90.00 ,$490.00 ,"$1,500.00 ",$250.00 ,$50.00 ,4,$15.00 ,95,,,,,,,,,,
412687,Altrincham's original and cosy Airbnb flat,2053716,53.393,-2.34904,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$58.00 ,$400.00 ,"$1,450.00 ",$150.00 ,$0.00 ,1,$10.00 ,99,,,,,,,,,,
554282,Well Presented Large Double Room,7021,53.45508,-2.27683,t,House,Private room,6,2,1,1,Real Bed,$40.00 ,,,$150.00 ,$15.00 ,1,$20.00 ,90,,,,,,,,,,
556920,Central Manchester room-character private bathroom,2738322,53.48138,-2.22366,f,Apartment,Private room,2,1,1,1,Real Bed,$35.00 ,$350.00 ,"$1,280.00 ",$0.00 ,$11.00 ,1,$0.00 ,98,,,,,,,,,,
568034,Comfortable double room in Chorlton,2794391,53.44635,-2.27818,t,Townhouse,Private room,2,1,1,1,Real Bed,$35.00 ,$190.00 ,$550.00 ,$100.00 ,,1,$5.00 ,95,,,,,,,,,,
610613,Dbl Room good access to city centre,3027563,53.42744,-2.23273,t,Bed and breakfast,Private room,2,1,1,1,Real Bed,$31.00 ,$215.00 ,,,,1,$8.00 ,97,,,,,,,,,,
651097,DOUBLEROOMWITHENSUITEINTHE CITYCENTREWITH PARKING,3270691,53.4742,-2.24414,f,Loft,Private room,2,1.5,1,1,Real Bed,$53.00 ,,,$0.00 ,$0.00 ,1,$20.00 ,98,,,,,,,,,,
681857,A perfect Home away from home,3472687,53.48888,-2.21156,t,Apartment,Entire home/apt,4,3,2,2,Real Bed,$85.00 ,,,,$20.00 ,4,$0.00 ,94,,,,,,,,,,
711322,Lovely room  in Manchester city,3086011,53.4645,-2.25904,t,House,Private room,1,2,1,1,Real Bed,$35.00 ,$180.00 ,$550.00 ,$0.00 ,$10.00 ,1,$30.00 ,92,,,,,,,,,,
711323,Lovely room in Manchester city,3086011,53.46352,-2.26062,t,House,Private room,1,1,1,0,Real Bed,$37.00 ,$180.00 ,$550.00 ,,$10.00 ,1,$30.00 ,93,,,,,,,,,,
725938,"Stylish Apt for 2, West Didsbury Near Burton Road!",1388085,53.43111,-2.23855,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$55.00 ,,,$200.00 ,$47.00 ,1,$0.00 ,96,,,,,,,,,,
735851,Manchester-Stockport-Cheadle,3839436,53.40018,-2.1937,f,Townhouse,Entire home/apt,4,1.5,2,6,Real Bed,$90.00 ,,,,$10.00 ,3,$10.00 ,93,,,,,,,,,,
753374,"Comfy family home, Mosely Rd, Close to Swamy  II",3962880,53.43564,-2.19836,t,Townhouse,Private room,1,1.5,1,1,Pull-out Sofa,$25.00 ,,,$0.00 ,$5.00 ,1,$10.00 ,95,,,,,,,,,,
758206,Victorian Townhouse Manchester ~ 1,3988014,53.39398,-2.15342,f,House,Private room,2,1.5,1,1,Real Bed,$45.00 ,,,,,1,$15.00 ,98,,,,,,,,,,
890462,Attractive room in Old Trafford,4727565,53.45966,-2.27037,t,House,Private room,1,1,1,1,Real Bed,$34.00 ,$210.00 ,$650.00 ,,,1,$0.00 ,99,,,,,,,,,,
912553,"Comfortable en-suite room, Didsbury",3027563,53.42618,-2.23419,t,Bed and breakfast,Private room,2,1,1,1,Real Bed,$34.00 ,$230.00 ,,,,1,$8.00 ,98,,,,,,,,,,
917497,Single in WhiteRooms ChorltonGreen,4917842,53.4401,-2.28187,t,House,Private room,1,1,1,1,Real Bed,$32.00 ,$216.00 ,$800.00 ,$0.00 ,$0.00 ,1,$0.00 ,99,,,,,,,,,,
917498,"Peaceful Attic-Room, 3, Chorlton",4917842,53.4394,-2.28205,t,House,Private room,1,1,1,1,Real Bed,$35.00 ,$210.00 ,$800.00 ,$0.00 ,$0.00 ,1,$20.00 ,100,,,,,,,,,,
917504,Double/Ensuite in bohemian Chorlton,4917842,53.43954,-2.28164,t,House,Private room,2,1,1,1,Real Bed,$45.00 ,$285.00 ,"$1,075.00 ",$0.00 ,$0.00 ,1,$25.00 ,99,,,,,,,,,,
968898,Double Room CLOSE TO PICCADILLY,5289300,53.47545,-2.16597,f,House,Private room,1,1,1,1,Real Bed,$66.00 ,,,$100.00 ,$15.00 ,1,$10.00 ,,,,,,,,,,,
1033531,L shaped single room near to city centre,1560767,53.45274,-2.23889,t,Townhouse,Private room,1,1,1,1,Real Bed,$20.00 ,$131.00 ,$462.00 ,$120.00 ,,1,$0.00 ,88,,,,,,,,,,
1095952,Cosy place to lay your head,5513840,53.43906,-2.18486,t,House,Shared room,3,1,1,2,Real Bed,$28.00 ,$125.00 ,$499.00 ,,,1,$5.00 ,92,,,,,,,,,,
1105205,Peaceful vegan flat (& breakfast),3093251,53.4683,-2.24691,t,Apartment,Private room,2,1,1,1,Real Bed,$36.00 ,,,,$5.00 ,1,$0.00 ,99,,,,,,,,,,
1111565,Fab Apartment in Didsbury Village,6100874,53.41665,-2.23386,f,Apartment,Entire home/apt,3,2,2,2,Real Bed,$75.00 ,$525.00 ,,$200.00 ,$10.00 ,1,$0.00 ,85,,,,,,,,,,
1113620,Spacious Apartment close to Didsbury,6100874,53.41218,-2.21406,f,Apartment,Entire home/apt,4,2,2,3,Real Bed,$70.00 ,$525.00 ,,$200.00 ,$10.00 ,3,$4.00 ,97,,,,,,,,,,
1114538,Cosy Apartment near Cheadle village,6100874,53.39213,-2.22241,f,Apartment,Entire home/apt,3,1.5,2,2,Real Bed,$68.00 ,$476.00 ,,$200.00 ,$10.00 ,1,$0.00 ,89,,,,,,,,,,
1117458,Super 2 bed East Didsbury Apartment,6100874,53.40939,-2.22306,f,Apartment,Entire home/apt,4,2,2,3,Real Bed,$75.00 ,$525.00 ,,$200.00 ,$10.00 ,3,$4.00 ,95,,,,,,,,,,
1144986, city centre boho artist's flat,5987368,53.47474,-2.2386,f,Apartment,Private room,1,1,1,1,Real Bed,$40.00 ,$245.00 ,,,,1,$20.00 ,92,,,,,,,,,,
1162564,Double Private Room 1 in Manchester,6201208,53.43229,-2.22171,t,House,Private room,2,1.5,1,0,Real Bed,$35.00 ,$300.00 ,$800.00 ,$400.00 ,$30.00 ,1,$20.00 ,91,,,,,,,,,,
1174058,room to rent/let,6425594,53.51148,-2.36253,f,Apartment,Private room,1,,1,,Real Bed,$66.00 ,,,,,1,$0.00 ,,,,,,,,,,,
1199469,"Boutique Mews Cottage, West Didsbury",6552609,53.42646,-2.24544,f,House,Entire home/apt,4,1.5,2,3,Real Bed,$150.00 ,$950.00 ,"$3,000.00 ",$500.00 ,$0.00 ,1,$0.00 ,100,,,,,,,,,,
1216654,Peaceful Double room in Didsbury,1984186,53.42521,-2.22881,f,Apartment,Private room,2,1,1,1,Real Bed,$32.00 ,,,,,1,$0.00 ,95,,,,,,,,,,
