,lsoa,Latitude,Longitude,area,month,score_0,score_1
0,E01012628,53.65936,-2.4960299999999997,1524569.215,-1,6,4
1,E01004768,53.61541,-2.4534,627970.8397,-1,41,19
2,E01004803,53.63468,-2.43838,1661417.2,-1,27,26
3,E01004804,53.62624,-2.43681,1031784.921,-1,24,20
4,E01004807,53.6213,-2.42567,393866.7203,-1,25,10
5,E01004808,53.6196,-2.4337299999999997,697025.1158,-1,25,10
6,E01004788,53.61149,-2.3987,676727.6428,-1,19,13
7,E01004790,53.60531999999999,-2.40315,821146.5046,-1,67,85
8,E01004805,53.62096,-2.41206,711092.6128,-1,24,15
9,E01004806,53.61445,-2.41188,742912.6179,-1,37,50
10,E01004810,53.60635,-2.4125400000000004,995760.5969,-1,30,21
11,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,-1,36,32
12,E01004770,53.60621999999999,-2.4217400000000002,808107.6667,-1,22,22
13,E01004771,53.61081,-2.43455,252031.7436,-1,44,55
14,E01004773,53.60553,-2.43067,428045.34,-1,71,64
15,E01004809,53.61581999999999,-2.4227,572248.441,-1,73,85
16,E01004777,53.59788,-2.55286,366957.5917,-1,67,74
17,E01004881,53.601459999999996,-2.5502599999999997,245099.0525,-1,109,92
18,E01004888,53.60569,-2.5417400000000003,348569.3321,-1,33,21
19,E01004889,53.60484,-2.54846,198635.4821,-1,64,59
20,E01004890,53.600019999999994,-2.54358,176796.5549,-1,115,187
21,E01004766,53.59964,-2.43954,507738.5161,-1,74,120
22,E01004767,53.59927,-2.42647,884155.0936,-1,102,137
23,E01004772,53.60579,-2.44373,537599.9495,-1,86,78
24,E01004774,53.60304,-2.4389,452446.7476,-1,58,48
25,E01004824,53.593990000000005,-2.42789,1342964.115,-1,48,69
26,E01004785,53.592009999999995,-2.38432,909305.9929,-1,67,70
27,E01004786,53.59916,-2.39874,1514536.29,-1,35,72
28,E01004789,53.61561,-2.38365,827143.8182,-1,39,14
29,E01004791,53.60341999999999,-2.38781,757055.2546,-1,16,27
30,E01004792,53.59777,-2.3786,435743.1692,-1,30,8
31,E01004779,53.59564,-2.55851,482490.1375,-1,52,31
32,E01004781,53.586819999999996,-2.54403,827406.2861,-1,144,247
33,E01004882,53.59645,-2.54331,178111.0299,-1,65,73
34,E01004883,53.593869999999995,-2.53562,147937.0127,-1,62,57
35,E01004884,53.60689,-2.51839,335059.7232,-1,51,30
36,E01004864,53.59611999999999,-2.44958,718956.3763,-1,66,93
37,E01004867,53.5909,-2.44806,708735.6694,-1,61,46
38,E01004921,53.59045,-2.45958,301252.5385,-1,45,58
39,E01004924,53.61091,-2.48422,354389.0592,-1,58,44
40,E01004925,53.59316,-2.45547,620891.6165,-1,36,20
41,E01004778,53.596169999999994,-2.5870900000000003,598770.2584,-1,26,20
42,E01004780,53.60375,-2.59835,2358032.825,-1,71,62
43,E01004782,53.59055,-2.58582,323319.1918,-1,44,29
44,E01004783,53.58192,-2.57335,724717.2166,-1,41,31
45,E01004802,53.59972,-2.41571,958528.6804,-1,105,130
46,E01004926,53.5919,-2.40748,524882.9605,-1,91,82
47,E01004927,53.59016999999999,-2.41761,307201.9464,-1,226,324
48,E01004929,53.594669999999994,-2.41072,491917.4853,-1,157,171
49,E01004820,53.59024,-2.4357,1701640.755,-1,154,173
50,E01004825,53.59395,-2.43466,3951028.418,-1,145,159
51,E01004826,53.59304,-2.44014,665273.9572,-1,120,93
52,E01004865,53.5953,-2.44404,377596.1924,-1,71,72
53,E01004866,53.58775,-2.44263,546478.5389,-1,160,197
54,E01004840,53.59315,-2.48938,678892.8221,-1,83,124
55,E01004841,53.59469,-2.47338,1732902.624,-1,153,165
56,E01004842,53.58565,-2.47168,526403.8289,-1,31,16
57,E01004919,53.59121999999999,-2.46656,275438.833,-1,40,57
58,E01004920,53.589209999999994,-2.47626,223335.8173,-1,71,65
59,E01004787,53.58956,-2.38611,8797903.455,-1,176,119
60,E01004793,53.5865,-2.38945,450033.7374,-1,158,140
61,E01004794,53.59109,-2.39679,629385.5177,-1,137,102
62,E01004795,53.583830000000006,-2.38119,1301017.101,-1,118,125
63,E01004797,53.583709999999996,-2.3950400000000003,1431010.17,-1,121,104
64,E01004775,53.57216,-2.5304,421383.2461,-1,90,69
65,E01004885,53.5898,-2.51009,289559.169,-1,38,32
66,E01004886,53.58856,-2.52825,271367.9722,-1,76,57
67,E01004887,53.59044,-2.52172,217960.6589,-1,43,38
68,E01004868,53.581619999999994,-2.45355,1034600.385,-1,91,113
69,E01004869,53.58603000000001,-2.45043,767236.72,-1,183,321
70,E01004870,53.5812,-2.4482,446882.4914,-1,206,176
71,E01004871,53.57636,-2.4489799999999997,903604.0353,-1,99,85
72,E01004922,53.587230000000005,-2.45721,520444.3061,-1,125,72
73,E01004822,53.58939,-2.4304,795296.1045,-1,108,148
74,E01004823,53.58328,-2.43712,1221408.5459999999,-1,257,237
75,E01004848,53.571459999999995,-2.4302599999999996,593785.2634,-1,608,793
76,E01004818,53.57753,-2.41598,620036.1222,-1,121,109
77,E01004819,53.573,-2.40942,11727838.55,-1,41,41
78,E01004928,53.58809,-2.40931,300158.1546,-1,131,170
79,E01004930,53.58726,-2.40267,257493.7196,-1,35,17
80,E01004931,53.58231,-2.40673,328432.9137,-1,74,88
81,E01004932,53.57819,-2.40688,415085.2233,-1,93,129
82,E01004834,53.56795,-2.45837,1043731.262,-1,84,105
83,E01004838,53.57134,-2.4598400000000002,528597.3419,-1,101,141
84,E01004843,53.58336,-2.46754,438470.9077,-1,29,17
85,E01004845,53.578869999999995,-2.46323,561827.0082,-1,52,29
86,E01004923,53.58223,-2.45788,300538.8392,-1,49,37
