,Unnamed: 0,beds,bed_type,bed_score,rating,price,Latitude,Longitude,name,host_id,crime,bus,room,total
0,0,1,Real Bed,1,97,89.28571429,53.48074,-2.23186,"Best Location! !, WIFI, En-suite, Balcony!",465854,290.2637573,100,100,0
1,1,1,Real Bed,1,100,86.73469388,53.56259,-2.21945,En-suite room in detached house,1476718,51.49840855,53.03918863,100,188.275474
2,2,1,Real Bed,1,93,92.60204082,53.48251,-2.22802,Nice room 10 minutes walk from town,1603652,86.61095983,100,100,191.5717053
3,3,1,Real Bed,1,97,89.79591837,53.47859,-2.23195,**ELEGANT STAY** CENTRAL MANCHESTER,1694961,290.2637573,100,100,0
4,4,1,Real Bed,1,95,93.87755102,53.45678,-2.23513,Light and Airy Double Bedroom close to City Centre,1821587,141.6206235,100,100,144.6440811
5,5,1,Real Bed,1,82,96.93877551,53.45326,-2.23971,Small cosy room close to city centre.,1560767,56.18008205,66.22097686,100,169.7233297
6,6,1,Real Bed,1,90,91.83673469,53.45508,-2.27683,Well Presented Large Double Room,7021,32.18650534,100,100,233.6852064
7,7,1,Real Bed,1,98,93.1122449,53.48138,-2.22366,Central Manchester room-character private bathroom,2738322,86.61095983,100,100,202.3712594
8,8,1,Real Bed,1,95,93.1122449,53.44635,-2.27818,Comfortable double room in Chorlton,2794391,36.86817885,100,100,243.4318627
9,9,1,Real Bed,1,97,94.13265306,53.42744,-2.23273,Dbl Room good access to city centre,3027563,51.49840855,100,100,235.3552172
10,10,1,Real Bed,1,98,88.52040816,53.4742,-2.24414,DOUBLEROOMWITHENSUITEINTHE CITYCENTREWITH PARKING,3270691,290.2637573,100,100,0
11,11,1,Real Bed,1,92,93.1122449,53.4645,-2.25904,Lovely room  in Manchester city,3086011,62.03217393,100,100,212.5936653
12,12,1,Real Bed,1,98,90.56122449,53.39398,-2.15342,Victorian Townhouse Manchester ~ 1,3988014,32.18650534,100,100,253.2072248
13,13,1,Real Bed,1,99,93.36734694,53.45966,-2.27037,Attractive room in Old Trafford,4727565,14.6302297,56.58079278,100,232.9647309
14,14,1,Real Bed,1,98,93.36734694,53.42618,-2.23419,"Comfortable en-suite room, Didsbury",3027563,51.49840855,100,100,237.0315596
15,15,1,Real Bed,1,99,93.87755102,53.4401,-2.28187,Single in WhiteRooms ChorltonGreen,4917842,35.69776047,100,100,255.5979926
16,16,1,Real Bed,1,100,93.1122449,53.4394,-2.28205,"Peaceful Attic-Room, 3, Chorlton",4917842,35.69776047,100,100,257.4144844
17,17,1,Real Bed,1,99,90.56122449,53.43954,-2.28164,Double/Ensuite in bohemian Chorlton,4917842,35.69776047,89.23992335,100,241.6623535
18,18,1,Real Bed,1,88,96.93877551,53.45274,-2.23889,L shaped single room near to city centre,1560767,56.18008205,100,100,211.8676502
19,19,1,Real Bed,1,99,92.85714286,53.4683,-2.24691,Peaceful vegan flat (& breakfast),3093251,192.5338229,100,100,99.32008679
20,20,1,Real Bed,1,92,91.83673469,53.47474,-2.2386, city centre boho artist's flat,5987368,290.2637573,100,100,1.447139234
21,21,1,Real Bed,1,95,93.87755102,53.42521,-2.22881,Peaceful Double room in Didsbury,1984186,36.28296966,100,100,244.7148523
22,22,1,Real Bed,1,97,89.28571429,53.43367,-2.22283,Double room in Manchester,6201208,67.29905662,43.3497865,100,160.3763508
23,23,1,Real Bed,1,94,90.56122449,53.39221,-2.15276,Victorian Townhouse Manchester ~ 2,3988014,50.91319936,100,100,225.2691436
24,24,1,Real Bed,1,94,94.3877551,53.45581,-2.23695,Fabulous Room close to City Centre,1821587,56.18008205,100,100,223.9152127
25,25,1,Real Bed,1,97,93.36734694,53.46836,-2.25019,Std double bedroom in modern flat.,8113089,96.55951603,100,100,190.903596
26,26,1,Real Bed,1,95,93.62244898,53.48786,-2.29252,Salford -Lowry-MediaCity-Manchester,5649500,80.75886795,89.85023366,100,192.578124
27,27,1,Real Bed,1,100,94.64285714,53.48782,-2.21125,Quiet house between Etihad Stadium & City Centre,8566600,69.63989338,98.79934384,100,223.8023076
28,28,1,Real Bed,1,87,98.21428571,53.461,-2.35388,Cosy single room,8643169,16.97106645,84.85140364,100,231.5023219
29,29,1,Real Bed,1,85,88.01020408,53.52704,-2.23666,Modern Duplex Flat near Heaton Park,9001735,50.91319936,61.54327622,100,168.8442388
30,30,1,Real Bed,1,100,95.40816327,53.45034,-2.26742,Lovely double room with bay window,9487531,27.50483184,45.86119351,100,213.7645249
31,31,1,Real Bed,1,93,86.73469388,53.45944,-2.26966,Lovely Double Room in a Great Flat!,6649974,14.6302297,75.78329238,100,230.5356136
32,32,1,Real Bed,1,97,95.66326531,53.45689,-2.26499,Large double bedroom,10566057,14.6302297,90.14515956,100,263.0428493
33,33,1,Real Bed,1,96,92.85714286,53.46967,-2.26357,Quiet City Centre Apartment,11143491,96.55951603,100,100,188.4457218
34,34,1,Real Bed,1,96,94.3877551,53.45706,-2.25919,Comfy Double Room with Private Bathroom,6792001,104.1672355,100,100,182.6116988
35,35,1,Real Bed,1,99,95.15306122,53.44852,-2.35743,Quiet Large Spacious Double Room With Garden View,11618063,47.98715342,100,100,244.6942487
36,36,1,Real Bed,1,100,91.83673469,53.53477,-2.55487,Ironman UK 2019 available space for extra guests!,13014357,43.30547991,100,100,248.5312548
37,37,1,Real Bed,1,87,94.3877551,53.45661,-2.23718,Ground Floor Double nr City centre,1821587,56.18008205,100,100,207.2406756
38,38,1,Real Bed,1,90,94.3877551,53.43548,-2.19866,"Comfy family home, Mosely Rd, Close to Swamy",3962880,69.05468419,98.44525977,100,201.4004976
39,39,1,Real Bed,1,98,95.91836735,53.41468,-2.19074,Double Room Heaton Moor,14192192,42.13506154,100,100,248.7076397
40,40,1,Real Bed,1,98,91.32653061,53.48773,-2.23356,"Manchester Centre, close but quiet!",14449268,47.40194423,100,100,239.0460947
41,41,1,Real Bed,1,98,90.81632653,53.45326,-2.3042,Private attic room with ensuite,15824000,32.77171453,41.12065457,100,195.1819612
42,42,1,Real Bed,1,92,95.15306122,53.45674,-2.21499,Bright Double Room near University,2719228,100.0707712,100,100,179.4757069
43,43,1,Real Bed,1,93,98.97959184,53.45915,-2.2153,ROOF TERRACE DBL City Centre Universities MRI,3421578,100.0707712,38.6818363,100,127.959311
44,44,1,Real Bed,1,99,91.83673469,53.37769,-2.35919,Private room Bowdon S'th Manchester,12301938,35.69776047,49.35853494,100,203.4425341
45,45,1,Real Bed,1,89,96.42857143,53.42198,-2.22155,Double Bedroom with breakfast,17669919,36.28296966,100,100,231.5295856
46,46,1,Real Bed,1,98,91.32653061,53.42069,-2.18261,Double Bedroom in Victorian Home (King Size Bed),17746047,23.99357671,88.74319979,100,250.9546306
47,47,1,Real Bed,1,97,86.98979592,53.37152,-2.36778,"Ayuda House B&B Bowdon, Cheshire, 5 rooms in total",11483160,13.45981132,53.60546038,100,220.3213816
48,48,1,Real Bed,1,99,92.09183673,53.47183,-2.26251,Ellesmere Street - Roof Garden - Gay Host,3607304,96.55951603,83.11217376,100,176.8580495
49,49,1,Real Bed,1,96,91.07142857,53.37033,-2.36381,Self-contained en-suite room,8664431,22.23794915,93.79135603,100,252.119842
50,50,1,Real Bed,1,96,90.56122449,53.4809,-2.224,Double in Manchester City Centre,8455918,86.61095983,100,100,195.7922541
51,51,1,Real Bed,1,89,96.68367347,53.42698,-2.21815,Small double Bedroom with breakfast,17669919,39.2090156,100,100,229.1524455
52,52,1,Real Bed,1,95,92.34693878,53.40304,-2.16716,Beautiful Large Ensuite Loft Room,19487486,120.5530927,84.76697183,100,148.732777
53,53,1,Real Bed,1,97,76.53061224,53.47463,-2.24102,Superb Double Room In Manchester City Centre,2895264,290.2637573,100,100,0
54,54,1,Real Bed,1,97,92.60204082,53.41795,-2.21294,Spacious and cosy Double Bedroom,19789170,49.1575718,68.53426075,100,205.6193679
55,55,1,Real Bed,1,97,95.66326531,53.40483,-2.29174,Perfect for Airport and Hospital,15159184,56.18008205,39.48115151,100,173.5954047
56,56,1,Real Bed,1,100,92.34693878,53.44786,-2.20056,The kindness of strangers,19734859,71.98073013,100,100,220.3662086
57,57,1,Real Bed,1,93,95.15306122,53.45932,-2.17265,Cozy Double Room Available,21029549,132.2572765,59.16921519,100,113.5204499
58,58,1,Real Bed,1,93,95.66326531,53.46072,-2.17283,Cute Single Room Available,21029549,132.2572765,100,100,151.9675696
59,59,1,Real Bed,1,97,92.09183673,53.43966,-2.28129,Lovely double room in Chorlton,3926962,35.69776047,77.18887382,100,226.5754616
60,60,1,Futon,0.6,97,95.91836735,53.47064,-2.29509,Cosy Single Room - Canal Views with WiFi,21254433,84.85533227,84.62173776,60,151.0142297
61,61,1,Real Bed,1,97,96.93877551,53.48536,-2.13462,Cosy single room - Parking included,14728896,42.72027073,48.58308762,100,196.7175446
62,62,1,Real Bed,1,96,94.3877551,53.45107,-2.28201,"1.Chorlton, MUFC & Media City, start here!",21949435,52.66882692,37.12481064,100,171.6899893
63,63,1,Real Bed,1,96,93.1122449,53.45144,-2.28338,"2.Chorlton, MUFC & Media City, start here!",21949435,52.66882692,45.41982092,100,178.4287093
64,64,1,Real Bed,1,94,91.83673469,53.47231,-2.25816,Double room with stunning views,3316046,96.55951603,60.75962265,100,146.6746308
65,65,1,Real Bed,1,98,94.64285714,53.44839,-2.18699,Double room in a friendly household,22200019,55.00966368,86.17720929,100,221.2941947
66,66,1,Real Bed,1,100,90.30612245,53.46878,-2.24719,Excellent room at Excellent location,22300551,192.5338229,97.42064429,100,95.19294388
67,67,1,Real Bed,1,99,82.39795918,53.4791,-2.23103,Perfect city centre warehouse conversion,22387983,290.2637573,100,100,0
68,68,1,Real Bed,1,80,93.1122449,53.4812,-2.23648,City Centre Double Bedroom in the Northern Quarter,11648424,290.2637573,100,100,2.278790106
69,69,1,Real Bed,1,97,92.34693878,53.45798,-2.2679,Sunny stylish room in a happy house,19892769,14.6302297,100,100,269.3852078
70,70,1,Real Bed,1,95,97.44897959,53.48526,-2.34232,Double Room in shared apartment,23182584,167.955037,97.93910815,100,121.0613982
71,71,1,Real Bed,1,93,94.89795918,53.48791,-2.26518,Warm bedroom close city cente,23673949,112.3601641,40.80057701,100,114.704686
72,72,1,Real Bed,1,96,93.62244898,53.47562,-2.27599,Well Located Simple Double Room,10222609,69.63989338,100,100,215.0232534
73,73,1,Real Bed,1,95,93.1122449,53.45114,-2.2734,Trafford Mansion (Single Room) Free WiFi,24276634,32.18650534,100,100,247.8794526
74,74,1,Real Bed,1,88,90.56122449,53.44971,-2.27522,Trafford Mansion (Double Room) Free WiFi,24276634,36.86817885,91.55063191,100,215.8144362
75,75,1,Real Bed,1,100,94.3877551,53.44129,-2.28631,Friendly Chorlton Houseshare Double,26193398,12.87460214,100,100,281.513153
76,76,1,Real Bed,1,98,93.1122449,53.4425,-2.24241,"Hi i,m Darren",26303964,59.10612799,100,100,229.3259946
77,77,1,Real Bed,1,99,93.36734694,53.43981,-2.28344,"Peaceful Attic-Room, 2, Chorlton",4917842,35.69776047,100,100,255.0928906
78,78,1,Real Bed,1,100,94.89795918,53.41158,-2.22423,Beautiful Family Home,7691062,44.47589829,81.43557592,100,231.8576368
79,79,1,Real Bed,1,100,91.83673469,53.47732,-2.16257,Double Room; Canalside Near Ethiad & City Centre.,28461411,66.12863825,96.67266872,100,222.3807652
80,80,1,Real Bed,1,96,95.40816327,53.43916,-2.28618,Friendly house in a great location,28733141,19.89711239,100,100,264.4906088
81,81,1,Real Bed,1,95,92.85714286,53.40002,-2.16045,"Central Stockport, well connected",29029492,50.91319936,100,100,229.8467463
82,82,1,Real Bed,1,89,94.13265306,53.4688,-2.28271,modern apartment near old Trafford,13374466,42.72027073,100,100,223.7570203
83,83,1,Real Bed,1,100,88.01020408,53.64423,-2.32143,Spacious Attic Room in a beautiful period property,5669235,25.74920427,100,100,262.2609998
84,84,1,Real Bed,1,90,96.93877551,53.45222,-2.24316,"Comfortable double room, well located.",29980011,116.4566284,100,100,162.4339324
85,85,1,Real Bed,1,100,95.66326531,53.44007,-2.27666,Double room in stylish loft flat,2686669,29.84566859,61.79483637,100,227.6124331
86,86,1,Real Bed,1,99,92.09183673,53.49565,-2.26126,Cosy room+ensuite 15 mins City Cr,31568577,98.90035278,68.53051521,100,160.1047792
87,87,1,Real Bed,1,98,95.66326531,53.44898,-2.35775,Cosy Single light Room With Garden View,11618063,47.98715342,100,100,242.7225896
