id,title,coins,danmakus,follow,views,score,score_count,tags,long_review_count,short_review_count,state,ep,timestamp
22718131,鬼灭之刃,2226507,6530201,7458648,414335158,9.8,298296,漫画改 战斗 热血 声控 ,522,111665,2,26,1583383346
102392,工作细胞,715997,3915346,6571178,164144443,9.6,57648,搞笑 战斗 日常 声控 ,242,20269,2,14,1583383346
6339,欢迎来到实力至上主义的教室,468409,3894000,5771912,166140970,8.7,52364,小说改 校园 ,294,20502,2,12,1583383346
5997,埃罗芒阿老师,678962,7609048,5570921,150277350,9.1,38717,小说改 搞笑 恋爱 ,152,13612,2,12,1583383346
5800,小林家的龙女仆,531135,4828886,5506799,202570635,9.6,27943,萌系 搞笑 日常 漫画改 ,86,8774,2,13,1583383346
139252,关于我转生变成史莱姆这档事,1267181,3554544,5332112,232673619,9.4,75981,小说改 奇幻 战斗 魔法 ,320,25784,2,26,1583383346
28224394,Re：从零开始的异世界生活 新编集版,113484,344904,5210953,26046520,9.6,11508,小说改 穿越 奇幻 战斗 ,73,3349,1,9,1583383346
8892,紫罗兰永恒花园,950535,2565392,5096299,86743558,9.7,146235,小说改 奇幻 治愈 架空 ,1645,64186,2,14,1583383346
28222723,刀剑神域 爱丽丝篇 异界战争,381524,836446,5022779,68647693,9.3,44578,小说改 穿越 科幻 架空 ,125,13728,2,13,1583383346
5267730,辉夜大小姐想让我告白~天才们的恋爱头脑战~,1165320,3219813,4993525,146190313,9.8,175312,恋爱 校园 智斗 日常 ,329,64945,2,12,1583383346
3461,Re：从零开始的异世界生活,882948,10979087,4930830,202216392,9.2,37372,奇幻 战斗 励志 小说改 ,382,13604,2,25,1583383346
134932,青春猪头少年不会梦到兔女郎学姐,1287801,2708845,4906844,118360359,9.8,107339,小说改 恋爱 奇幻 校园 ,709,39450,2,13,1583383346
28226009,Re：从零开始的异世界生活 冰结之绊,7333,3364,4833880,4598076,-1,-1,小说改 奇幻 日常 萌系 ,0,0,0,0,1583383346
28226008,Re：从零开始的异世界生活 Memory Snow(雪之回忆),43338,104493,4825053,5500779,9.8,7136,小说改 穿越 奇幻 日常 ,7,1759,2,1,1583383346
28226644,紫罗兰永恒花园外传：永远与自动手记人偶,34533,8272,4807316,5114680,9.8,5207,剧情 动画 ,91,2188,1,2020,1583383346
28224095,某科学的超电磁炮T,786215,607828,4649321,37484516,9.8,35064,漫画改 战斗 科幻 校园 ,64,11077,1,7,1583383346
3450,在下坂本，有何贵干？,561427,2828180,4620480,170389617,9.1,20668,搞笑 校园 日常 ,71,7013,2,13,1583383346
102252,OVERLORD Ⅲ,863277,3040853,4314155,226266746,9.4,65330,小说改 奇幻 智斗 战斗 ,547,23875,2,13,1583383346
28223480,青春猪头少年不会梦到怀梦美少女,412430,565214,4295985,9885352,9.9,93812,小说改 穿越 奇幻 校园 ,330,33932,2,1,1583383346
8792,OVERLORDⅡ,685915,3136737,4197041,217324048,9.6,61428,小说改 奇幻 战斗 魔法 ,271,23964,2,13,1583383346
102792,Angels of Death,520122,2886828,4182634,94717943,9.5,46476,恋爱 游戏改 冒险 ,364,17717,2,16,1583383346
130412,刀剑神域 Alicization,999295,2730889,4126204,143623587,8.3,76507,小说改 热血 奇幻 战斗 ,751,32374,2,24,1583383346
6446,干物妹！小埋R,482242,3320299,4117446,111590565,9.4,31295,萌系 搞笑 日常 漫画改 ,96,12683,2,12,1583383346
6312,徒然喜欢你,521600,2346735,4000153,96512211,9.7,28115,恋爱 校园 漫画改 搞笑 ,94,11019,2,12,1583383346
3398,冰菓,287800,2371743,3951667,53454980,9.8,40249,恋爱 推理 校园 日常 ,364,13690,2,22,1583383346
2576,OVERLORD,372519,3000670,3856774,235383328,9.6,27641,奇幻 战斗 小说改 架空 ,79,8667,2,13,1583383346
28222736,这个勇者明明超强却过分慎重,586950,1152888,3814074,117581898,9.7,104472,小说改 穿越 奇幻 战斗 ,156,33451,2,13,1583383346
28222061,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,569160,1080842,3791191,85719189,9.6,72269,游戏改 奇幻 战斗 冒险 ,137,23190,1,18,1583383346
2580,干物妹！小埋,300924,5747098,3750923,136265631,9.2,12553,萌系 日常 ,46,3754,2,12,1583383346
28222114,命运之夜——天之杯II ：迷失之蝶,69897,219101,3713008,10435984,9.7,10042,剧情 奇幻 动画 ,44,2580,1,2019,1583383346
1699,四月是你的谎言,452484,4004624,3679029,106412913,9.8,31004,少女 音乐 催泪 恋爱 ,297,11265,2,22,1583383346
28223479,JOJO的奇妙冒险,130537,909595,3672189,30543929,9.8,38791,漫画改 战斗 奇幻 冒险 ,95,11340,2,26,1583383346
4312482,多罗罗,594092,1115403,3638911,138583740,9.4,66847,热血 战斗 冒险 ,402,23194,2,24,1583383346
425,某科学的超电磁炮,485147,4765416,3636659,65402122,9.6,22158,校园 战斗 奇幻 漫画改 ,81,6494,2,24,1583383346
6301,Fate/Apocrypha,261729,3308595,3609994,122246444,5.7,96198,热血 战斗 ,1146,48650,2,25,1583383346
28223748,齐木楠雄的灾难 始动篇,118798,131262,3567418,15654804,9.8,29454,漫画改 奇幻 日常 搞笑 ,26,8124,2,6,1583383346
4316482,盾之勇者成名录,932144,2966656,3445858,168948490,7.2,217996,小说改 奇幻 魔法 架空 ,1589,96894,2,25,1583383346
28224137,因为太怕痛就全点防御力了,380933,1298881,3453255,74677406,8.9,60810,小说改 穿越 奇幻 萌系 ,442,23493,1,9,1583383346
28223481,JOJO的奇妙冒险  星尘远征军,105651,794608,3370734,23248480,9.9,30315,漫画改 奇幻 战斗 冒险 ,49,7488,2,24,1583383346
135652,JOJO的奇妙冒险 黄金之风,928323,2754706,3353160,249517791,9.8,193836,热血 智斗 战斗 漫画改 ,1088,78500,2,42,1583383346
28223483,JOJO的奇妙冒险 星尘远征军 埃及篇,95671,764808,3303956,19263878,9.9,27814,漫画改 战斗 奇幻 冒险 ,51,6614,2,24,1583383346
1586,Fate/stay night [Unlimited Blade Works] 第一季,246659,4702446,3274847,127731201,9.3,13573,奇幻 热血 ,60,3666,2,13,1583383346
28222715,路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,30585,24198,3202844,2343409,9.8,10361,热血 奇幻 战斗 漫画改 ,12,2881,2,1,1583383346
4316382,五等分的新娘,485720,1833817,3159862,77350440,8.7,42304,恋爱 校园 日常 漫画改 ,232,16825,2,12,1583383346
835,我们仍未知道那天所看见的花的名字。,299244,2085094,3129629,31719006,9.5,20531,日常 治愈 催泪 原创 ,178,7549,2,11,1583383346
5998,Re：创造主,216054,2351687,2977466,74173739,8.6,20243,科幻 奇幻 原创 穿越 ,292,8846,2,22,1583383346
184,NO GAME NO LIFE 游戏人生,273229,1345289,2958447,40294813,9.8,41347,奇幻 智斗 架空 穿越 ,152,14493,2,12,1583383346
2572,Charlotte,275144,1640878,2921504,89861335,9.3,25420,奇幻 日常 校园 战斗 ,223,9412,2,13,1583383346
1512,路人女主的养成方法,224245,2415692,2848375,86108831,9.4,15518,恋爱 小说改 ,155,5219,2,13,1583383346
28224145,虚构推理,196936,603297,2832449,39671074,9.5,28505,漫画改 神魔 恋爱 奇幻 ,111,7907,1,8,1583383346
6311,笨女孩,188963,1814627,2812624,81291077,9.1,19479,搞笑 校园 漫画改 ,61,7517,2,12,1583383346
8932,龙王的工作！,241715,2581422,2802764,68218068,9.0,22868,小说改 职场 ,244,9201,2,12,1583383346
28222224,游戏人生 零,146895,199028,2799286,8046263,9.9,46844,爱情 奇幻 动画 ,115,18963,1,2019,1583383346
28222618,动物狂想曲 / BEASTARS,372451,874148,2746171,58048285,9.7,73661,漫画改 奇幻 恋爱 校园 ,346,23751,2,12,1583383346
1650,Fate/Zero 第一季,134651,3139599,2705055,61075884,9.5,12302,时泪 奇幻 战斗 热血 ,77,3603,2,13,1583383346
33512,卫宫家今天的饭,312770,946288,2704381,54700310,9.8,43587,日常 美食 ,155,17437,2,13,1583383346
3365,境界的彼方,122618,1214066,2670819,26366752,9.5,13078,恋爱 奇幻 战斗 ,74,4243,2,12,1583383346
6434,宝石之国,167797,1287806,2662347,53975697,9.8,50318,战斗 漫画改 架空 励志 ,299,20520,2,12,1583383346
8752,魔卡少女樱 CLEAR CARD篇,195507,1950798,2655532,48156433,9.8,42361,少女 魔法 漫画改 ,321,20007,2,22,1583383346
134912,魔法禁书目录 第三季,465221,1184246,2646346,72011135,7.8,46694,小说改 热血 科幻 奇幻 ,448,22318,2,26,1583383346
1539,我的青春恋爱物语果然有问题。,152965,1753889,2578223,35307960,9.7,20798,日常 校园 智斗 恋爱 ,148,6126,2,13,1583383346
6440,如果能写小说就好了,176726,1279605,2524178,48994842,9.2,23442,小说改 恋爱 ,208,9897,2,12,1583383346
8772,Fate/EXTRA Last Encore,131848,816974,2521943,38412821,8.8,36433,奇幻 战斗 游戏改 ,475,17296,2,13,1583383346
687,樱花庄的宠物女孩,202477,1299684,2521302,16019535,9.7,27770,校园 催泪 恋爱 小说改 ,320,9690,2,24,1583383346
5058,路人超能100(灵能百分百),173194,1218542,2518281,79861606,9.7,17957,热血 奇幻 战斗 ,48,5789,2,12,1583383346
963,魔法禁书目录 第一季,185381,2955547,2515109,44977710,9.0,8850,科幻 校园 战斗 热血 ,38,2555,2,24,1583383346
5267750,约定的梦幻岛,318638,621342,2497926,45297746,9.8,54826,热血 智斗 励志 漫画改 ,249,20171,2,12,1583383346
1588,罪恶王冠,144850,2633841,2485605,39769865,8.8,18241,奇幻 战斗 热血 原创 ,219,7277,2,22,1583383346
28221387,Ｄｒ．ＳＴＯＮＥ 石纪元,387739,1039516,2466551,98185308,9.7,57095,漫画改 科幻 励志 冒险 ,111,16883,2,24,1583383346
28221390,平凡职业造就世界最强,260962,1320812,2451767,84427580,5.7,200113,小说改 奇幻 战斗 冒险 ,260,98051,2,14,1583383346
78352,超能力女儿,255308,861578,2440011,68574051,9.6,32286,搞笑 日常 漫画改 ,187,12121,2,12,1583383346
28224120,地缚少年花子君,241790,773764,2445102,31979297,9.6,43060,漫画改 搞笑 少女 奇幻 ,113,17098,1,8,1583383346
3494,甲铁城的卡巴内瑞,140246,1927727,2409413,70657770,8.4,13837,热血 奇幻 战斗 原创 ,111,5407,2,12,1583383346
5989,月色真美,776035,2723932,2393958,44032113,9.8,26253,恋爱 校园 原创 治愈 ,308,11275,2,12,1583383346
4340,中二病也要谈恋爱！,275755,2746066,2383978,32757377,9.7,14556,恋爱 ,91,4552,2,13,1583383346
28221399,某科学的一方通行,259599,963041,2364829,51136198,6.4,57203,漫画改 科幻 战斗 魔法 ,123,24686,2,12,1583383972
78512,阿宅的恋爱真难,293086,1002764,2357546,52063285,9.6,24150,搞笑 恋爱 日常 漫画改 ,95,9697,2,11,1583383972
4762734,路人超能100 II(灵能百分百 第二季),439841,783060,2339397,73673941,9.9,61126,热血 奇幻 战斗 漫画改 ,149,22646,2,13,1583383972
5550,夏目友人帐 伍,251186,1478815,2335008,43801986,9.7,5139,治愈 催泪 神魔 漫画改 ,0,1579,2,11,1583383972
1660,夏目友人帐,78450,1381859,2333167,28851170,9.8,7374,奇幻 日常 治愈 催泪 ,48,2427,2,13,1583383972
53,月刊少女野崎君,108425,347596,2307220,14927810,9.8,28924,搞笑 校园 少女 漫画改 ,61,9819,2,12,1583383972
