frame,errframe,errbits,type,snr
50,50,8821,SP,-1
50,50,7948,SP,-0.5
50,50,6991,SP,0
56,50,4332,SP,0.5
138,50,3353,SP,1
363,3,89,SP,1.5
17695,3,95,SP,2
50,50,9162,OMS,-1
50,50,8354,OMS,-0.5
50,50,7245,OMS,0
51,50,5647,OMS,0.5
90,50,3205,OMS,1
92,3,215,OMS,1.5
23936,3,20,OMS,2
50,50,11542,MS,-1
50,50,10822,MS,-0.5
50,50,10134,MS,0
50,50,9038,MS,0.5
50,50,7758,MS,1
5,3,464,MS,1.5
132,3,328,MS,2
50,50,9897,NMS,-1
50,50,9131,NMS,-0.5
50,50,8066,NMS,0
50,50,6088,NMS,0.5
59,50,2534,NMS,1
13,3,7,NMS,1.5
102,3,7,NMS,2
